Date,ZT_Open,ZT_High,ZT_Low,ZT_Close,ZT_Volume,DGS2
2017-05-02,108.2890625,108.328125,108.2578125,108.3203125,172237.0,1.27
2017-05-03,108.3203125,108.3203125,108.234375,108.2578125,263314.0,1.3
2017-05-04,108.25,108.2578125,108.1875,108.21875,248224.0,1.32
2017-05-05,108.2109375,108.2578125,108.15625,108.2109375,229727.0,1.32
2017-05-08,108.203125,108.234375,108.1640625,108.1953125,237271.0,1.33
2017-05-09,108.1796875,108.203125,108.140625,108.1484375,292388.0,1.37
2017-05-10,108.171875,108.21875,108.140625,108.1484375,332695.0,1.35
2017-05-11,108.140625,108.1875,108.1171875,108.171875,315359.0,1.35
2017-05-12,108.1875,108.296875,108.1796875,108.2890625,289507.0,1.29
2017-05-15,108.2890625,108.296875,108.2578125,108.2734375,219666.0,1.31
2017-05-16,108.2734375,108.3046875,108.2421875,108.2734375,202864.0,1.29
2017-05-17,108.2734375,108.40625,108.265625,108.390625,398663.0,1.26
2017-05-18,108.390625,108.4375,108.3203125,108.3515625,516650.0,1.27
2017-05-19,108.34375,108.359375,108.296875,108.34375,416650.0,1.28
2017-05-22,108.328125,108.359375,108.3046875,108.34375,442586.0,1.29
2017-05-23,108.3359375,108.3671875,108.2734375,108.28125,634370.0,1.31
2017-05-24,108.28125,108.3671875,108.265625,108.328125,929962.0,1.29
2017-05-25,108.3515625,108.3671875,108.3203125,108.328125,819810.0,1.3
2017-05-26,108.3203125,108.3515625,108.296875,108.3125,630367.0,1.3
2017-05-29,,,,,,
2017-05-30,108.3125,108.34375,108.296875,108.34375,516716.0,1.28
2017-05-31,108.328125,108.359375,108.3046875,108.3515625,81777.0,1.28
2017-06-01,108.3359375,108.3359375,108.2890625,108.3125,53993.0,1.28
2017-06-02,108.3125,108.375,108.296875,108.3359375,20503.0,1.28
2017-06-05,108.328125,108.3359375,108.3046875,108.3046875,17311.0,1.32
2017-06-06,108.3203125,108.359375,108.3203125,108.328125,12278.0,1.3
2017-06-07,108.328125,108.3359375,108.296875,108.3046875,6339.0,1.32
2017-06-08,108.3046875,108.3125,108.2734375,108.2890625,16517.0,1.33
2017-06-09,108.3203125,108.3203125,108.25,108.28125,6945.0,1.35
2017-06-12,108.265625,108.2890625,108.25,108.25,9259.0,1.35
2017-06-13,108.2578125,108.265625,108.2421875,108.2578125,2064.0,1.38
2017-06-14,108.265625,108.40625,108.265625,108.296875,3175.0,1.35
2017-06-15,108.296875,108.296875,108.25,108.2578125,1780.0,1.35
2017-06-16,108.25,108.3125,108.25,108.3046875,890.0,1.32
2017-06-19,108.3046875,108.3046875,108.2421875,108.2421875,156.0,1.36
2017-06-20,108.2421875,108.28125,108.21875,108.2734375,1298.0,1.36
2017-06-21,108.25,108.25,108.25,108.25,648.0,1.36
2017-06-22,108.2578125,108.2734375,108.2578125,108.2734375,33.0,1.34
2017-06-23,108.2890625,108.3046875,108.28125,108.296875,809.0,1.34
2017-06-26,108.296875,108.3125,108.2734375,108.3125,1067.0,1.36
2017-06-27,108.25,108.25,108.25,108.25,546.0,1.38
2017-06-28,108.2578125,108.296875,108.2578125,108.2734375,671.0,1.34
2017-06-29,108.296875,108.3515625,108.2109375,108.3046875,372.0,1.38
2017-06-30,108.3671875,108.3671875,108.3359375,108.3359375,382588.0,1.38
2017-07-03,108.046875,108.0703125,107.9609375,107.9765625,217812.0,1.41
2017-07-04,,,,,,
2017-07-05,107.9921875,108.03125,107.953125,107.9765625,299529.0,1.41
2017-07-06,108.0,108.0078125,107.9375,107.9921875,304797.0,1.4
2017-07-07,108.0,108.046875,107.96875,107.984375,311530.0,1.4
2017-07-10,108.0,108.046875,107.9921875,108.0234375,170955.0,1.4
2017-07-11,108.0234375,108.0703125,108.0,108.0625,247932.0,1.37
2017-07-12,108.0625,108.1640625,108.0546875,108.125,339601.0,1.35
2017-07-13,108.1328125,108.1484375,108.078125,108.1015625,230826.0,1.37
2017-07-14,108.09375,108.1875,108.078125,108.109375,311894.0,1.35
2017-07-17,108.1015625,108.140625,108.1015625,108.125,143658.0,1.36
2017-07-18,108.1171875,108.15625,108.109375,108.140625,254018.0,1.36
2017-07-19,108.1328125,108.1484375,108.1171875,108.1328125,152141.0,1.37
2017-07-20,108.125,108.15625,108.1171875,108.1328125,216270.0,1.37
2017-07-21,108.140625,108.171875,108.125,108.1640625,178940.0,1.36
2017-07-24,108.1640625,108.1796875,108.125,108.1328125,121390.0,1.37
2017-07-25,108.1328125,108.140625,108.0625,108.078125,274917.0,1.4
2017-07-26,108.078125,108.1796875,108.0703125,108.171875,296985.0,1.36
2017-07-27,108.1640625,108.171875,108.125,108.1640625,281175.0,1.36
2017-07-28,108.15625,108.1875,108.125,108.1796875,228153.0,1.34
2017-07-31,108.171875,108.1953125,108.15625,108.171875,208965.0,1.34
2017-08-01,108.1640625,108.1953125,108.140625,108.1875,253482.0,1.34
2017-08-02,108.1796875,108.1875,108.140625,108.1484375,304481.0,1.36
2017-08-03,108.140625,108.2109375,108.140625,108.1953125,256386.0,1.34
2017-08-04,108.1953125,108.1953125,108.1328125,108.15625,230139.0,1.36
2017-08-07,108.171875,108.171875,108.1328125,108.171875,143365.0,1.36
2017-08-08,108.1640625,108.171875,108.1328125,108.1484375,212578.0,1.36
2017-08-09,108.171875,108.234375,108.1640625,108.203125,285403.0,1.33
2017-08-10,108.1875,108.2265625,108.1796875,108.203125,248135.0,1.33
2017-08-11,108.203125,108.3046875,108.1953125,108.2890625,373921.0,1.3
2017-08-14,108.28125,108.2890625,108.21875,108.234375,240604.0,1.33
2017-08-15,108.2421875,108.2421875,108.1640625,108.171875,226089.0,1.35
2017-08-16,108.171875,108.2265625,108.1484375,108.21875,260156.0,1.33
2017-08-17,108.2109375,108.25,108.1875,108.2421875,287107.0,1.32
2017-08-18,108.2421875,108.2890625,108.21875,108.234375,266063.0,1.33
2017-08-21,108.2421875,108.28125,108.21875,108.265625,228014.0,1.32
2017-08-22,108.2578125,108.265625,108.21875,108.2265625,301770.0,1.33
2017-08-23,108.21875,108.2734375,108.2109375,108.265625,336947.0,1.32
2017-08-24,108.265625,108.265625,108.2109375,108.21875,519478.0,1.33
2017-08-25,108.21875,108.234375,108.1875,108.21875,630355.0,1.35
2017-08-28,108.21875,108.2421875,108.203125,108.2421875,671813.0,1.33
2017-08-29,108.2578125,108.328125,108.25,108.28125,842413.0,1.33
2017-08-30,108.2890625,108.2890625,108.234375,108.265625,459501.0,1.33
2017-08-31,108.2734375,108.296875,108.2421875,108.2734375,117657.0,1.33
2017-09-01,108.2734375,108.3125,108.21875,108.234375,57503.0,1.35
2017-09-04,,,,,,
2017-09-05,108.28125,108.34375,108.265625,108.34375,26960.0,1.3
2017-09-06,108.34375,108.3515625,108.3125,108.328125,10583.0,1.3
2017-09-07,108.328125,108.3984375,108.328125,108.375,11143.0,1.27
2017-09-08,108.421875,108.4296875,108.375,108.40625,2513.0,1.27
2017-09-11,108.375,108.3828125,108.296875,108.3203125,4075.0,1.32
2017-09-12,108.3125,108.3125,108.265625,108.2890625,3541.0,1.33
2017-09-13,108.2890625,108.3125,108.2578125,108.2578125,5493.0,1.35
2017-09-14,108.265625,108.2734375,108.203125,108.2265625,2080.0,1.37
2017-09-15,108.2578125,108.2578125,108.1796875,108.1875,1480.0,1.39
2017-09-18,108.1796875,108.1796875,108.1484375,108.1640625,2374.0,1.4
2017-09-19,108.1796875,108.1796875,108.1484375,108.1484375,1215.0,1.4
2017-09-20,108.171875,108.171875,108.0703125,108.0859375,2707.0,1.45
2017-09-21,108.078125,108.1015625,108.078125,108.078125,1698.0,1.45
2017-09-22,108.09375,108.1015625,108.0859375,108.09375,665.0,1.46
2017-09-25,108.140625,108.140625,108.140625,108.140625,1652.0,1.44
2017-09-26,108.125,108.125,108.078125,108.1015625,914.0,1.45
2017-09-27,108.078125,108.078125,108.0546875,108.078125,1438.0,1.47
2017-09-28,108.046875,108.1171875,108.03125,108.1171875,1588.0,1.45
2017-09-29,108.0625,108.078125,108.0625,108.0703125,512147.0,1.47
2017-10-02,107.8203125,107.8515625,107.78125,107.828125,273396.0,1.49
2017-10-03,107.8203125,107.859375,107.8046875,107.8359375,263777.0,1.47
2017-10-04,107.84375,107.8828125,107.8125,107.828125,298281.0,1.47
2017-10-05,107.8359375,107.84375,107.78125,107.796875,303978.0,1.49
2017-10-06,107.796875,107.8046875,107.734375,107.7734375,441082.0,1.54
2017-10-09,107.78125,107.7890625,107.7578125,107.765625,86622.0,
2017-10-10,107.7734375,107.8046875,107.7578125,107.7890625,387300.0,1.51
2017-10-11,107.765625,107.7890625,107.75,107.7578125,287319.0,1.51
2017-10-12,107.75,107.7890625,107.7421875,107.765625,267994.0,1.51
2017-10-13,107.7578125,107.8203125,107.7265625,107.7890625,349703.0,1.51
2017-10-16,107.796875,107.796875,107.6953125,107.703125,308445.0,1.54
2017-10-17,107.703125,107.7265625,107.671875,107.703125,314081.0,1.54
2017-10-18,107.6953125,107.703125,107.65625,107.6796875,332469.0,1.59
2017-10-19,107.6796875,107.765625,107.671875,107.7109375,364902.0,1.58
2017-10-20,107.7578125,107.7734375,107.6640625,107.671875,330770.0,1.6
2017-10-23,107.671875,107.71875,107.65625,107.7109375,263929.0,1.58
2017-10-24,107.703125,107.71875,107.6640625,107.6953125,341307.0,1.6
2017-10-25,107.671875,107.703125,107.6328125,107.6640625,329677.0,1.61
2017-10-26,107.6875,107.7109375,107.625,107.640625,291564.0,1.63
2017-10-27,107.6328125,107.7109375,107.6015625,107.6796875,337896.0,1.59
2017-10-30,107.6875,107.7265625,107.6796875,107.71875,240914.0,1.58
2017-10-31,107.71875,107.734375,107.6640625,107.6796875,317522.0,1.6
2017-11-01,107.671875,107.671875,107.6171875,107.6328125,432009.0,1.61
2017-11-02,107.6484375,107.6875,107.6328125,107.65625,334434.0,1.61
2017-11-03,107.65625,107.703125,107.6015625,107.6328125,288972.0,1.63
2017-11-06,107.640625,107.6640625,107.625,107.640625,285676.0,1.61
2017-11-07,107.6328125,107.640625,107.6171875,107.6328125,265254.0,1.63
2017-11-08,107.6171875,107.640625,107.59375,107.609375,242937.0,1.65
2017-11-09,107.6015625,107.640625,107.5859375,107.640625,424312.0,1.63
2017-11-10,107.625,107.6328125,107.578125,107.5859375,286446.0,1.67
2017-11-13,107.59375,107.609375,107.5234375,107.5390625,281294.0,1.7
